Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Jamaica,Kingston,Jamaica,Kingston,English
Japan,Tokyo,NihonNippon,Tōkyō,JapaneseJapanese characters
Jersey,St. Helier,JerseyJerseyJèrri,St. HelierSaint HélierSaint Hélyi,EnglishFrenchJèrriais
Jordan,Amman,Al-’Urdun,‘Ammān,ArabicArabic script
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Kazakhstan,Astana,Kazakhstán,Astana,KazakhCyrillic scriptRussianCyrillic script
Kenya,Nairobi,Kenya,Nairobi,EnglishSwahili
Kiribati,Tarawa,Kiribati,Tarawa,EnglishGilbertese
North Korea,Pyongyang,ChosŏnBukchosŏn,P'yŏngyang,KoreanHangulHanja
South Korea,Seoul,HangukNamhan,Seoul,KoreanHangulHanja
Kosovo,Pristina,KosovaKosovoКосово,PrishtinëPrištinaПриштина,AlbanianSerbianLatinSerbianCyrillic
Kuwait,Kuwait City,Dawlat ul-Kuwaytil-ikwet,Madiinat ul-Kuwaytid-diira,ArabicArabic scriptKuwaiti Gulf ArabicArabic script
Kyrgyzstan,Bishkek,KyrgyzstanKyrgyzstan,BishkekBishkek,KyrgyzCyrillic scriptRussianCyrillic script
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Laos,Vientiane,Lao,"Vientiane, Vieng ChanWīang Chan",LaoLao alphabet
Latvia,Riga,Latvija,Rīga,Latvian
Lebanon,Beirut,LubnānLiban,BayrūtBeyrouth,ArabicArabic script
Lesotho,Maseru,Lesotho,Maseru,SesothoEnglish
Liberia,Monrovia,Liberia,Monrovia,English
Libya,Tripoli,LibyaⵍⵉⴱⵢⴰLībiyā,ṬrablesⵟⵔⴰⴱⵍⴻⵙTarabulus,Berber languageTifinagh scriptArabicArabic script
Liechtenstein,Vaduz,Liechtenstein,Vaduz,German
Lithuania,Vilnius,Lietuva,Vilnius,Lithuanian
Luxembourg,Luxembourg,LëtzebuergLuxemburgLuxembourg,LëtzebuergLuxemburgLuxembourg,LuxembourgishGermanFrench
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Macau,Macau,Oumún澳門Macau,Oumún澳門Macau,CantoneseTraditional Chinese charactersPortuguese
Madagascar,Antananarivo,MadagasikaraMadagascar,AntananarivoAntananarivo/Tananarive,MalagasyFrench
Malawi,Lilongwe,MalawiMalaŵi,LilongweLilongwe,EnglishChichewa
Malaysia,Kuala Lumpur,Malaysia,Kuala Lumpur,Malay
Maldives,Malé,Dhivehi Raajje,Malé,DhivehiThaana script
Mali,Bamako,Mali,Bamakɔ,Bambara
Malta,Valletta,MaltaMalta,VallettaIl-Belt VallettaValletta,MalteseEnglish
Marshall Islands,Majuro,Marshall IslandsAorōkin Ṃajeḷ,MajuroMājro,EnglishMarshallese
Martinique,Fort-de-France,Martinique,Fort-de-France,French
Mauritania,Nouakchott,Muritan / Agawecⵎⵓⵔⵉⵜⴰⵏ / ⴰⴳⴰⵡⵛMūrītānyā,Nwakcuṭ / anu ukcuḍⵏⵡⴰⴽⵛⵓⵟ / ⴰⵏⵓ ⵓⴽⵛⵓⴹnwakšūṭ,Berber languageTifinagh scriptArabicArabic script
Mauritius,Port Louis,MauritiusMauriceMoris,Port LouisPort-LouisPorlwi,EnglishFrenchMauritian Creole
Mayotte,Mamoudzou,MayotteMaore,MamoudzouMomoju,FrenchShimaore
Mexico,Mexico City,MéxicoMēxihco,Ciudad de MéxicoĀltepētl Mēxihco,SpanishNahuatl
Federated States of Micronesia,Palikir,Federated States of Micronesia,Palikir,English
Moldova,Chișinău,Moldova,Chișinău,Romanian
Monaco,Monaco,MonacoMúnegu,MonacoMúnegu,FrenchMonégasque
Mongolia,Ulaanbaatar,Mongol Uls,Ulaanbaatar,MongolianCyrillic scriptMongol script
Montenegro,Podgorica,Crna Gora,Podgorica,Montenegrin
Montserrat,Brades Estate,Montserrat,Brades Estate,English
Morocco,Rabat,Amerruk / Elmeɣribⴰⵎⵔⵔⵓⴽ / ⵍⵎⵖⵔⵉⴱAl-maɣréb,ErrbaṭⵔⵔⴱⴰⵟAr-ribaaṭ,Berber languageTifinagh scriptArabicArabic script
Mozambique,Maputo,Moçambique,Maputo,Portuguese
Myanmar,Naypyidaw,Myanma,Nay Pyi Taw,BurmeseBurmese alphabet
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Namibia,Windhoek,NamibiaNamibiaNamibiëNamibiaNamibia,WindhoekWindhukWindhoek/Ae-//GamsOtjomuise,EnglishGermanAfrikaansDamara/NamaHerero
Nauru,Yaren,NauruNaoero,YarenYaren,EnglishNauruan
Nepal,Kathmandu,Nepāl,Kāṭhamāṇḍaũ,NepaliDevanagari script
Netherlands,Amsterdam,NederlandNederlân,AmsterdamAmsterdam,DutchWest Frisian
New Caledonia,Nouméa,Nouvelle-Calédonie,Nouméa,French
New Zealand,Wellington,New ZealandAotearoa,WellingtonPoneke/Te Whanganui-a-Tara,EnglishMāori
Nicaragua,Managua,Nicaragua,Managua,Spanish
Niger,Niamey,Niger,Niamey,French
Nigeria,Abuja,NigeriaNijeriyaNaìjíríyàNàìjíríà,AbujaAbujaAbujaÀbújá,EnglishHausaIgboYoruba
Niue,Alofi,NiuēNiue,AlofiAlofi,NiueanEnglish
Norfolk Island,Kingston,Norfolk IslandNorf'k Ailen,KingstonKingston,EnglishNorfuk
North Macedonia,Skopje,Severna MakedonijaСеверна МакедонијаMaqedonia e Veriut,SkopjeСкопјеShkup,MacedonianCyrillic scriptAlbanian
Northern Mariana Islands,Saipan,Northern Mariana IslandsNotte Mariånas,SaipanSaipan,EnglishChamorro
Norway,Oslo,NorgeNoregNorgaVuodnaNöörje,OsloOsloOsloOsloOslo,NorwegianBokmålNorwegianNynorskNorthern SámiLule SámiSouthern Sámi
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Oman,Muscat,‘Umān,Masqaṭ,ArabicArabic script
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Pakistan,Islamabad,PakistanPākistān,IslamabadIslāmabād,EnglishUrduArabic script [Nastaʿlīq hand]
Palau,Ngerulmud,BelauPalau,NgerulmudNgerulmud,EnglishPalauan
Palestine,East JerusalemRamallah,Filasṭīn,Al-Quds Al-SharqitRāmallāh,ArabicArabic script
Panama,Panama City,Panamá,Ciudad de Panamá,Spanish
Papua New Guinea,Port Moresby,Papua New GuineaPapua NiuginiPapua Niu Gini,Port MoresbyPot MosbiPot Mosbi,EnglishTok PisinHiri Motu
Paraguay,Asunción,ParaguayParaguái,AsunciónParaguay,SpanishGuaraní
Peru,Lima,PerúPiruw,LimaLima,SpanishQuechuaAymara
Philippines,Manila,PilipinasPhilippines,MaynilaManila,FilipinoEnglish
Pitcairn Islands,Adamstown,Pitcairn IslandsPitkern Ailen,AdamstownAdamstown,EnglishPitcairnese
Poland,Warsaw,Polska,Warszawa,Polish
Portugal,Lisbon,Portugal,Lisboa,Portuguese
Puerto Rico,San Juan,Puerto Rico,San Juan,EnglishSpanish
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Qatar,Doha,Qaṭar,Ad-Dawḥah,ArabicArabic script
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Réunion,Saint-Denis,La Réunion,Saint-Denis,French
Romania,Bucharest,România,București,Romanian
Russia,Moscow,RossiyaRossiâ,Moskva,RussianCyrillic script
Rwanda,Kigali,Rwanda,Kigali,FrenchKinyarwandaSwahiliEnglish
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Saba,The Bottom,Saba,,
Sahrawi Arab Democratic Republic,Laayoune,Al-Jumhūrīyah al-‘Arabīyah aṣ-Ṣaḥrāwīyah ad-Dīmuqrāṭīyah,Al-ʿAyyūn,ArabicArabic scriptSpanish
Saint Barthélemy,Gustavia,Saint-Barthélemy,Gustavia,French
"Saint Helena, Ascension and Tristan da Cunha",Jamestown,"Saint Helena, Ascension and Tristan da Cunha",Jamestown,English
Saint Kitts and Nevis,Basseterre,Saint Kitts and Nevis,Basseterre,English
Saint Martin,Marigot,Saint-Martin,Marigot,French
Saint Lucia,Castries,Saint Lucia,Castries,English
Saint Pierre and Miquelon,Saint-Pierre,Saint-Pierre et Miquelon,Saint-Pierre,French
Saint Vincent and the Grenadines,Kingstown,Saint Vincent and the Grenadines,Kingstown,English
Samoa,Apia,SamoaSāmoa,ApiaApia,EnglishSamoan
San Marino,San Marino,San Marino,San Marino,Italian
São Tomé and Príncipe,São Tomé,São Tomé e Príncipe,São Tomé,Portuguese
Saudi Arabia,Riyadh,Al-Mamlaka Al-‘Arabiyyah as Sa‘ūdiyyah,Ar-Riyāḍ,ArabicArabic script
Senegal,Dakar,SénégalSenegaal,DakarNdakaaru,FrenchWolof
Serbia,Belgrade,SrbijaСрбија,BeogradБеоград,SerbianCyrillic script
Seychelles,Victoria,SeselSeychellesSeychelles,VictoriaPort Victoria,Seychellois CreoleFrenchEnglish
Sierra Leone,Freetown,Sierra Leone,Freetown,English
Singapore,Singapore,SingapuraSingaporeXīnjiāpōSingapur,SingapuraSingaporeXīnjiāpōSingapur,MalayEnglishMandarin ChineseSimplified Chinese charactersTamilTamil script
Sint Maarten,Philipsburg,Sint MaartenSint Maarten,PhilipsburgPhilipsburg,DutchEnglish
Slovakia,Bratislava,Slovensko,Bratislava,Slovak
Slovenia,Ljubljana,Slovenija,Ljubljana,Slovene
Solomon Islands,Honiara,Solomon IslandsSolomon Aelan,HoniaraHoniala,EnglishNeo-Solomonic
Somalia,Mogadishu,Soomaaliyaaş-Şūmāl,MuqdishoMaqadīshū,SomaliArabicArabic script
South Africa,PretoriaCape TownBloemfontein,South AfricaSuid-AfrikaiNingizimu AfrikauMzantsi AfrikaAfrika-BorwaAfrika BorwaAforika BorwaAfurika TshipembeAfrika DzongaiNingizimu AfrikaiSewula Afrika,"PretoriaCape TownPretoria, KaapstadiPitoli, iKapaiPitoli, iKapaPretoriaPretoriaPretoriaPretoriaPitoriiPitoliiPitori",EnglishAfrikaansisiZuluisiXhosaPediSothoTswanaVendaTsongaSwaziNdebele
South Sudan,Juba,South SudanSudan KusiniPaguot Thudän,JubaJubaJuba,EnglishSwahiliDinka
Spain,Madrid,EspañaEspanyaEspainiaEspanha,MadridMadridMadrilMadrid,SpanishGalicianCatalanBasqueAraneseGalician (R)
Sri Lanka,Sri Jayawardenapura Kotte,Sri Lankā,Sri Jayawardenapura Kotte,SinhalaTamil
Sint Eustatius,Oranjestad,Sint EustatiusStatia,OranjestadOranjestad,DutchEnglish
Sudan,Khartoum,As-Sudan,Al-Khartûm,ArabicArabic script
Suriname,Paramaribo,Suriname,Paramaribo,Dutch
Svalbard,Longyearbyen,Svalbard,Longyearbyen,Norwegian
Sweden,Stockholm,Sverige,Stockholm,Swedish
Switzerland,Bern,SchweizSuisseSvizzeraSvizra,BernBerneBernaBerna,GermanFrenchItalianRomansh
Syria,Damascus,Suriyah,Dimashq / Ash-Sham,ArabicArabic script
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Taiwan,Taipei,Zhōnghuá MínguóTáiwān,Táiběi,ChineseTraditional Chinese characters
Tajikistan,Dushanbe,Tojikistan,Dushanbe,Tajiki-PersianCyrillic
Tanzania,Dodoma,Tanzania,Dodoma,EnglishSwahili
Thailand,Bangkok,"Thai, Prathet Thai, Ratcha-anachak Thai","Krung Thep, Krung Thep Maha Nakhon",ThaiThai script
Togo,Lomé,TogoTogoTogo,LoméLomeLoma,FrenchEweKabiye
Tokelau,,Tokelau,,EnglishTokelauan
Tonga,Nukuʻalofa,Tonga,Nukuʻalofa,TonganEnglish
Trinidad and Tobago,Port of Spain,Trinidad and Tobago,Port of Spain,English
Tunisia,Tunis,TunesⵜⵓⵏⵙTūns,TunesⵜⵓⵏⵙTūns,Berber languageTifinagh scriptArabicArabic script
Turkey,Ankara,Türkiye,Ankara,Turkish
Turkmenistan,Ashgabat,Türkmenistan,Aşgabat,Turkmen
Turks and Caicos Islands,Cockburn Town,Turks and Caicos Islands,Cockburn Town,English
Tuvalu,Fongafale,Tuvalu,Fongafale,EnglishTuvaluan
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Uganda,Kampala,Uganda,Kampala,EnglishSwahili
Ukraine,Kyiv,Ukrajina,Kyjiv,UkrainianCyrillic script
United Arab Emirates,Abu Dhabi,Al-’Imārat Al-‘Arabiyyah Al-Muttaḥidah,‘Abū ẓabī,ArabicArabic script
United Kingdom,London,United KingdomBritainY Deyrnas UnedigUnitit KinrickRìoghachd AonaichteAn Rywvaneth Unys,LondonLlundainLunnonLunnainnLoundres,EnglishWelshScotsScots GaelicIrishCornish
United States,"Washington, D.C.",United StatesAmericaEstados UnidosÉtats-Unis‘Amelika Hui Pū ‘ia,"Washington, D.C.WashingtonD.C.Washington D.C.Washington, D.C.",EnglishSpanishCajun FrenchIndigenousHawaiian
United States Virgin Islands,Charlotte Amalie,United States Virgin Islands,Charlotte Amalie,English
Uruguay,Montevideo,Uruguay,Montevideo,Spanish
Uzbekistan,Tashkent,O‘zbekiston,Toshkent,UzbekCyrillic script
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Vanuatu,Port Vila,Vanuatu,Port-Vila,French
Vatican City,Vatican City,Civitas VaticanaCittà del Vaticano,Civitas VaticanaCittà del Vaticano,LatinItalian
Venezuela,Caracas,Venezuela,Caracas,Spanish
Vietnam,Hanoi,Việt Nam,Hà Nội,Vietnamese
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Wallis and Futuna,Mata Utu,Wallis-et-FutunaʻUvea mo Futuna,Mata UtuMatāʻutu,FrenchWallisianFutunan
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Yemen,Sana'a,Al-Yaman,Ṣan‘ā’,ArabicArabic script
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Zambia,Lusaka,Zambia,Lusaka,EnglishBembaChewa
Zimbabwe,Harare,Zimbabwe,Harare,EnglishShona
